# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
16-Dec-21,Sudan,"Um Barambita, South Kordofan",Armed men,Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,13-year-old girl raped at a farm; mother beaten.,
19-Dec-21,Sudan,Khartoum/Omdurman,Security forces,Women,Adult,13,No/Unspecified,Rape,BBC/Dabanga,13 women raped by security forces after arrest during protests.,
19-Dec-21,Sudan,Khartoum city,Security forces,Women,Adult,Unspecified number,No/Unspecified,Sexual Assault,Dabanga,Women subjected to harassment and assault during detention.,
19-Dec-21,Sudan,Khartoum city,Sudanese forces,Girl (10-year-old),Child/Minor,1,Yes (Victim),Gang-rape,Radio Dabanga,10-year-old girl raped by at least 10 Sudanese forces.,
25-Dec-21,Sudan,Khartoum city,Sudanese forces,Men,Adult,3,No/Unspecified,Rape,Radio Dabanga,Three men raped by Sudanese forces during protests.,
25-Dec-21,Sudan,Khartoum city,Sudanese forces,Women,Adult,13,No/Unspecified,Rape,Radio Dabanga,13 women raped by Sudanese forces during protests.,
14-Dec-21 (Reported),Mexico,"Juarez city, Chihuahua",Police officer,Asylum-seeker (Cuban),Adult,1,No/Unspecified,Rape,Texas Tribune,Cuban asylum-seeker raped by police officer.,
03-Mar-21,CAR,"Boukoko village, Lobaye",Wagner Group militia,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,Girl raped by Russian Wagner Group militia men.,
19-Mar-21,CAR,"Near Bemaide village, Ouham Pende",CPC affiliated men,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by armed men affiliated to CPC.,
02-Mar-21,DRC,"Rubare village, North Kivu",Men,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,Woman kidnapped and raped by five men; ransom demanded.,
08-Mar-21,DRC,"Mukumba village, Tanganyika",Twa militia,Women,Adult,5,No/Unspecified,Rape/Abduction,Radio Okapi,Five women abducted and kept as sex slaves by Twa militia.,
19-Mar-21,Ghana,Ghana,NAP+ executives,Programme participants,Adult,9,No/Unspecified,Sexual Exploitation,Global Fund/Reuters,Nine participants reported sexual exploitation by executives.,
18-Mar-21,South Sudan,"Rumbek County, Lakes",Soldiers,Woman,Adult,1,No/Unspecified,Attempted Rape,Eye Radio,Soldiers attempted to rape woman; disarmed by group of women.,
27-Feb-21,Sudan,"Saraf Omra town, North Darfur",Gunmen,Displaced woman (45-year-old),Adult,1,No/Unspecified,Gang-rape,Dabanga Sudan,45-year-old woman raped by five gunmen fetching firewood.,
06-Mar-21,China,"Changshou district, Chongqing",Police officers,Human Rights Defender (Female),Adult,1,No/Unspecified,Sexual Harassment,ACLED,Female HRD sexually harassed inside police station.,
03-Mar-21,India,"Alwar city, Rajasthan",Police officer,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman detained and raped for 3 days by police officer.,
23-Mar-20,India,"Samba city, Jammu & Kashmir",RSS members,Female family members,Adult,Unspecified number,No/Unspecified,Sexual Assault,ACLED,Muslim family assaulted; females sexually assaulted by RSS members.,
16-Mar-20,Colombia,Soacha city,Police officers,Trans community member (Non-binary),Adult,1,No/Unspecified,Sexual Abuse,ACLED,Non-binary person sexually abused by police after arrest.,
04-Jun-21,Burundi,"Busebwa village, Rumonge",Imbonerakure,Women,Adult,2,No/Unspecified,Sexual Abuse,ACLED,Two women sexually abused by Imbonerakure enforcing rules.,
12-Jun-21,Burundi,"Kigwati village, Bujumbura Rural",Imbonerakure,Girl (12-year-old),Child/Minor,1,Yes (Victim),Rape,ACLED,12-year-old girl raped by an Imbonerakure.,
05-Jun-21,DRC,"Makutano village, North Kivu",Mai-Mai Mazembe,Women,Adult,54,No/Unspecified,Rape,ACLED,Mai-Mai Mazembe raped around 54 women during attack.,
08-Jun-21,DRC,"Niangara town, Haut-Uele",Armed group,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by armed group whilst working in field.,
07-Jun-21 (Reported),Ethiopia,"Hawzen town, Tigray",Soldier,Girl (19-year-old),Adult/Young Adult,1,No/Unspecified,Rape,Associated Press,19-year-old girl raped by an Ethiopian soldier.,
30-May-21,South Sudan,"Ikotos Country, Eastern Equatoria",Men,Girl (8-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Tamazuj,8-year-old girl raped by men whilst searching for coconuts.,
30-May-21,South Sudan,"Lire Payam, Central Equatoria",Armed men,Girl (14-year-old),Child/Minor,1,Yes (Victim),Attempted Rape,ACLED,Armed men attempted to rape 14-year-old girl.,
02-Jun-21,South Sudan,Juba city,Police Lieutenant,Girl (8-year-old),Child/Minor,1,Yes (Victim),Sexual Abuse (Sentencing),Eye Radio,Police lieutenant sentenced for sexually abusing 8-year-old girl (Jan incident).,
14-Jun-21,South Sudan,"Rumbek North, Lakes",Armed men,Girl (8-year-old),Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,8-year-old girl sexually assaulted by armed men.,
22-Jun-21,South Sudan,Juba city,SSPDF Sergeant,Schoolgirl (14-year-old),Child/Minor,1,Yes (Victim),Molestation (Sentencing),Eye Radio,Sergeant sentenced for molesting 14-year-old schoolgirl (July 2020).,
01-Jun-21,India,"Lonand town, Maharashtra",Military officer,Girl,Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,Girl sexually assaulted by military officer on a train.,
05-Jun-21,Malaysia,Kota Bharu,Police officer,Female prisoner,Adult,1,No/Unspecified,Sexual Assault,ACLED,Female prisoner sexually assaulted by high-ranking officer.,
20-May-21,Myanmar,"Buthidaung, Arakan",Man,IDP Woman (27-year-old),Adult,1,No/Unspecified,Rape,Development Media Group,27-year-old IDP woman raped in field.,
04-Jun-21,Myanmar,"Mrauk-U, Arakan",IDP,Girl (9-year-old),Child/Minor,1,Yes (Victim),Rape,Development Media Group,9-year-old girl raped inside IDP camp by another IDP.,
14-Jun-21,Myanmar,"Mantong township, Shan",Soldier,Women (Lisu),Adult,2,No/Unspecified,Rape,Mizzima,Two ethnic Lisu women raped by soldier whilst searching for mushrooms.,
10-Jun-21,Myanmar,"Nam Hpat Kay, Shan",Soldier,Nun (14-year-old),Child/Minor,1,Yes (Victim),Rape,ACLED,14-year-old nun raped by soldier stationed at monastery.,
15-Jun-21,Philippines,Lianga municipality,Military,Lumad civilians (1 student),Mixed,3 (2 raped),Yes (12yo involved),Rape/Murder,ACLED,Three civilians killed; two bore signs of rape (one was 12yo student).,
20-Jun-21 (Reported),Libya,Tripoli,Guards,Asylum seekers (15-18yo),Child/Minor,5,Yes (Victims),Sexual Assault,AP News,Five female asylum seekers (15-18) sexually assaulted by guards.,
12-Jun-21,Brazil,"Praia Grande, Sao Paulo",Military police,Woman,Adult,1,No/Unspecified,Sexual Abuse,ACLED,Woman sexually abused by two officers inside police vehicle.,
14-Jun-21 (Reported),Haiti,Port-au-Prince,Gangs,IDPs,Unknown,Unspecified number,No/Unspecified,Sexual Abuse/Rape,UNOCHA,Sexual abuse/rape reported among IDPs.,
30-May-21,Jamaica,Saint Ann's Bay,Police officer,Minor,Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,Minor sexually assaulted by police officer whilst in custody.,
23-Jun-21 (Reported),USA,"Fort Bliss, Texas",Staff member,Female minor,Child/Minor,1,Yes (Victim),Rape,BBC News,Female minor held at detention camp raped by staff.,
23-Jun-21 (Reported),USA,"Fort Bliss, Texas",Staff contractor,Male minor,Child/Minor,1,Yes (Victim),Sexual Assault,BBC News,Male minor sexually assaulted by contractor in tent.,
02-Feb-21,DRC,"Kihome village, North Kivu",Armed men,Girl (2-year-old),Child/Minor,1,Yes (Victim),Rape/Murder/Abduction,ACLED,"2-year-old girl abducted, raped and killed by armed men.",
03-Feb-21,DRC,"Charwika village, North Kivu",FDLR-FOCA,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,Woman kidnapped and raped by FDLR; ransom demanded.,
06-Feb-21,DRC,"Shonyi village, North Kivu",FARDC,Woman,Adult,1,No/Unspecified,Rape,Kivu Security,Woman raped by FARDC during clashes.,
09-Feb-21,DRC,"Kananga city, Kasai-Central",Men in uniform,Woman,Adult,1,No/Unspecified,Sexual Molestation,ACLED,Woman sexually molested by men in military uniforms.,
21-Feb-21,DRC,"Nyange village, South Kivu",Armed men,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by armed men during attack.,
24-Feb-21,DRC,"Kabakaba village, Ituri",CODECO militiamen,Woman,Adult,1,No/Unspecified,Rape,Radio Okapi,Woman raped by three militiamen; miners killed.,
31-Dec-20,Cameroon,"Ntui town, Centre",Police officers,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape/Coercion,Mimi Mefo Info,"15-year-old girl forced to have sex by officers, then raped by third officer.",
26-Feb-21 (Reported),Cameroon,"Ebam village, South West",Soldiers,Women,Adult,20,Yes (4 disabled),Rape,Human Rights Watch,20 women raped by soldiers in March 2020.,
15-Feb-21 (Reported),CAR,Liton town,Govt/Rebels,Women,Adult,65,No/Unspecified,Rape,The New Humanitarian,65 women raped since beginning of crisis (mid-Jan).,
08-Feb-21,Ethiopia,Addis Ababa,Armed men (Civilian clothes),Journalist (Female),Adult,1,No/Unspecified,Threats,Los Angeles Times,Journalist threatened after reporting on rape in Tigray.,
11-Feb-21 (Reported),Ethiopia,"Kerestber village, Tigray",Eritrean forces,Woman (27-year-old) and Sister,Adult,2,No/Unspecified,Rape/Kidnap,Los Angeles Times,"Woman and sister held for 15 days, repeatedly raped by 20 soldiers.",
11-Feb-21 (Reported),Ethiopia,Tigray region,Unknown,Unknown,Unknown,108 (2 months),No/Unspecified,Rape,Ethiopian Human Rights Commission,108 cases of rape reported in hospitals in past 2 months.,
15-Feb-21 (Reported),Ethiopia,"Abiy Addi town, Tigray",Soldier,Girl (18-year-old),Adult/Young Adult,1,No/Unspecified,Attempted Rape/Maiming,BBC News,18-year-old girl lost hand defending herself from rape.,
18-Feb-21 (Reported),Nigeria,Abuja (Obigbo women),Army,Women (Young),Adult,53,No/Unspecified,Rape/Abduction,Sahara Reporters,53 women abducted and raped at army barracks (Oct-Nov 20).,
27-Jan-21 (Reported),Somalia,Lower Shabelle,Male Somali,Girl (8-year-old),Child/Minor,1,Yes (Victim),Rape/Murder,The Haybad Online,8-year-old girl raped and killed in IDP camp.,
06-Feb-21 (Reported),Somalia,"Burao city, Somaliland",Unknown,Shepherd (Female),Child/Minor,1,Yes (Young),Rape/Murder,The Haybad Online,Mutilated body of young female shepherd found; signs of rape.,
03-Feb-21,Sudan,"Rokoro town, Central Darfur",Gunmen,Girl (10-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,10-year-old girl raped by gunmen.,
13-Feb-21 (Reported),Uganda,Bidi Bidi refugee camp,Unknown,Girls (<17),Child/Minor,400 (5 months),Yes (Victims),Sexual Abuse,Eye Radio,400 girls under 17 sexually abused in past 5 months.,
02-Feb-21 (Reported),China,Xinjiang,State forces,Uighur women,Adult,Systematic,No/Unspecified,Rape/Abuse,BBC/RFA,Systematic rape and abuse in camps.,
17-Feb-21,Kazakhstan,Dolina town,Prison guards,Inmates (Male),Adult,2,No/Unspecified,Rape,ACLED,Two male inmates allegedly raped by guards.,
22-Feb-20,Greece,Athens,Theatre Director,Refugee children,Child/Minor,2 (Men, minors at time),Yes (Victims),Rape,Reuters,Suspected rape of refugee children by director.
05-Feb-21,Guyana,Mabaruma town,Soldiers,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,Guyana Times,15-year-old girl allegedly drugged and raped by 5 soldiers.,
24-Feb-21,Venezuela,"Elorza town, Apure",Police (CPNB),Man,Adult,1,No/Unspecified,Sexual Abuse,ACLED,Man sexually abused by police after arrest.,
26-Jun-21,CAR,Boali town,Wagner Group,Women/Girls,Mixed,11 (10 girls),Yes (10 girls),Rape,Corbeau News,11 women (10 young girls) raped by Russian mercenaries.,
09-Jul-21,CAR,"Ippy town, Ouaka",FACA soldiers,Mother and Daughter (17yo),Mixed,2,Yes (Daughter),Rape,Corbeau News,Mother and 17-year-old daughter raped at checkpoint.,
09-Jul-21,CAR,Kaga-Bandoro town,FACA soldiers,Girl (14-year-old),Child/Minor,1,Yes (Victim),Gang-rape,Corbeau News,14-year-old girl gang-raped by three soldiers in forest.,
11-Jul-21,CAR,"Kparé village, Ouham-Pende",CPC rebels,Women,Adult,Several,No/Unspecified,Rape,Radio Ndeke Luka,Several women raped by rebels during attack.,
12-Jul-21 (Reported),CAR,Bambari town (IDP Camp),Man,Woman (50-year-old),Adult,1,No/Unspecified,Attempted Rape,UNFPA,50-year-old woman attacked/attempted rape.,
12-Jul-21 (Reported),CAR,Bambari town (IDP Camp),Uncle,Girl (12-year-old),Child/Minor,1,Yes (Victim),Rape,UNFPA,12-year-old girl raped by her uncle inside camp.,
12-Jul-21 (Reported),CAR,Bambari town (IDP Camp),Man (56-year-old),Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape,UNFPA,14-year-old girl raped by man returning from field.,
13-Jul-21,CAR,Bangui,Gendarmerie,Wife of URCA leader,Adult,1,No/Unspecified,Rape/Beat,ACLED,Wife of ex-leader raped and beaten by commandos.,
06-Jul-21,DRC,"Kanyamisambi village, North Kivu",Armed men,Girls,Child/Minor,4,Yes (Victims),Rape/Kidnap,Kivu Security,Four girls kidnapped and raped; boy kidnapped.,
11-Jul-21,DRC,"Kabaya, North Kivu",Armed men,Girls (12-21),Mixed,5,Yes (Victims),Rape/Abduction,Agenzia Fides,Five girls (12-21) abducted and raped by four men.,
15-Jul-21,DRC,"Nduko area, North Kivu",Armed men,Girls,Child/Minor,2,Yes (Victims),Rape,Radio Moto,Two girls raped during incursion.,
20-Jul-21,DRC,"Kaniro village, North Kivu",Pastoralists,Women,Adult,6,No/Unspecified,Rape/Abduction,La Prunelle,Six women abducted and raped.,
21-Jul-21,DRC,"Moboko center, South Kivu",Armed men,Refugee (Female),Adult,1,No/Unspecified,Rape,La Prunelle,Female refugee raped by men in military uniforms.,
07-Jul-21,Ivory Coast,Road Bondokou-Koun Fao,Armed perpetrators,Women,Adult,22,No/Unspecified,Rape/Looting,Afrique sur 7,22 women on minibus raped by armed men.,
14-Jul-21,Nigeria,"Gummi LGA, Zamfara",Alin Fade militia,Women,Adult,Several,No/Unspecified,Rape,HumAngle,Several women raped by militia; threatened with family death.,
29-Jul-21,Nigeria,"Birnin Yero, Zamfara",Dankarami militants,Women,Adult,Several,No/Unspecified,Rape,HumAngle,Several women raped by militants during night attack.,
02-Jul-21,Bangladesh,Barisal city,Police officers,Woman,Adult,1,No/Unspecified,Sexual Harassment/Torture,Dhaka Tribune,Woman sexually harassed and tortured in custody.,
03-Jul-21,Kyrgyzstan,Besh-Kungey village,Officer (State Committee),Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,Woman sexually assaulted by officer in car.,
01-Jul-21 (Reported),Myanmar,Rakhine state,Unknown,Women,Adult,30 (Jan-Jun),No/Unspecified,Rape,BNI Online,30 women raped Jan-June; 7 child rape cases.,
15-Jul-21 (Reported),Myanmar,"Kyauktaw Township, Rakhine",Unknown,Girl (Minor),Child/Minor,1,Yes (Victim),Rape,BNI Online,Minor girl raped inside IDP camp.,
14-Jul-21,Myanmar,Bhamo district,Soldiers,Farmer (Female),Adult,1,No/Unspecified,Rape/Murder,BNI/RFA,Female farmer raped and killed (military claimed accidental death).,
05-Jul-21 (Reported),Egypt,Cairo,Police/Medical,Woman (29-year-old),Adult,1,No/Unspecified,Sexual Violence (Search),NYT,Woman subjected to invasive searches by police and medical staff.,
05-Jul-21 (Reported),Egypt,Undisclosed,Medical personnel,Woman,Adult,1,No/Unspecified,Sexual Violence (Search),NYT,Woman subjected to invasive searches without consent.,
05-Jul-21 (Reported),Egypt,Undisclosed,Police/Medical,Transgender woman,Adult,1,No/Unspecified,Sexual Harassment/Search,NYT,Transgender woman subjected to invasive search and harassment.,
05-Jul-21 (Reported),Egypt,Al-Qanater prison,Police officers,Journalist (Female),Adult,1,No/Unspecified,Sexual Assault,NYT,Journalist sexually assaulted by male officer and female officer.,
Jul 2021 (Reported),Libya,Tripoli,Guards,Women/Girls,Mixed,6,Yes (Girls involved),Rape/Coercion,Amnesty,6 women/girls raped or coerced into sex in detention.,
27-Jul-21 (Reported),Libya,Zuwara city,Detention centre,Asylum-seeker (Malian),Adult,1,No/Unspecified,Rape/Beat,The New Humanitarian,24-year-old raped and beaten in detention.,
27-Jul-21 (Reported),Libya,Tripoli,Detention centre,Asylum-seeker (Malian),Adult,1,No/Unspecified,Rape,The New Humanitarian,22-year-old raped by 2-3 men in detention.,
27-Jul-21 (Reported),Libya,Unspecified,DCIM facility,Asylum seeker,Adult,1,No/Unspecified,Rape/Beat,The New Humanitarian,23-year-old raped and beaten multiple times.,
28-Jun-21,Colombia,Medellin,ESMAD officer,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,Abolition Media,15-year-old girl raped by police during protests.,
08-Jul-21,Colombia,Bogota,First Line members,Woman,Adult,1,No/Unspecified,Sexual Abuse (Strip),RCN Radio,Woman forced to undress and beaten by First Line members.,
11-Jul-21,Cuba,"Cotorro, La Habana",Prison guards,Prisoners (Juvenile),Child/Minor,Several,Yes (Victims),Sexual Assault,ACLED,Juvenile prisoners sexually assaulted by guards.,
19-Apr-21 (Reported),Burundi,Rutovu commune,Imbonerakure,Student (Primary),Child/Minor,1,Yes (Victim),Rape,Radio Publique Africaine,Primary school student raped by Imbonerakure.,
18-Apr-21 (Reported),Burundi,Nyanza-Lac commune,Teacher,Student (High School),Child/Minor,1,Yes (Victim),Rape,Radio Publique Africaine,High school student raped by teacher; forced back to school by Imbonerakure.,
21-Apr-21,Burundi,"Iteka town, Mwaro",Imbonerakure,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by six Imbonerakure.,
20-Apr-21,Burundi,"Rusiga village, Cibitoke",Imbonerakure,Girl (9-year-old),Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,9-year-old girl sexually abused by Imbonerakure.,
02-Apr-21 (Reported),CAR,Batangafo town,CPC member,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by CPC member returning from field.,
05-Apr-21,CAR,Markounda town,MPC/3R rebels,Women,Adult,Unspecified number,No/Unspecified,Sexual Assault,ACLED,Unspecified number of women sexually assaulted.,
03-Apr-21,DRC,"Bushandaba village, North Kivu",Police/Armed men,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,Woman kidnapped and raped; ransom demanded.,
17-Apr-21,DRC,"Mangumo village, North Kivu",UPLC militia,Woman,Adult,1,No/Unspecified,Rape,ACLED,Woman raped by militia.,
04-Apr-21 (Reported),Niger,Tera city,Soldiers (Chadian),Women/Girl,Mixed,3 (11yo 23yo 32yo),Yes (11yo Victim),Rape,Le Matin,11yo girl and two women raped by soldiers in front of husbands.,
04-Apr-21,South Sudan,Torit county,SSPDF soldiers,Women,Adult,13,No/Unspecified,Rape,ACLED,13 women raped by soldiers who attacked village.,
06-Apr-21,Zimbabwe,Harare,Police officer,MDC-A member (Female),Adult,1,No/Unspecified,Sexual Assault,ACLED,Female opposition member sexually assaulted by police.,
05-Apr-21,Afghanistan,"Darzab district, Jowzjan",Taliban,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape/Murder,Kabul Times,"16-year-old girl kidnapped, raped and killed.",
18-Apr-21,India,Chittorgarh city,Police officer,Woman,Adult,1,No/Unspecified,Sexual Coercion,ACLED,Woman forced to perform sexual acts by police officer.,
07-Apr-21,India,"Kulgam district, Kashmir",Policeman/Retired officer,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape,Greater Kashmir,16-year-old girl raped by policeman and retired army officer.,
19-Apr-21 (Reported),India,Udaipur city,Men (incl. Police),Woman (19-year-old),Adult,1,No/Unspecified,Gang-rape,Times of India,19-year-old kidnapped and raped for 6 months by 12 men.,
18-Apr-21,Myanmar,Yangon,Armed forces,Female detainee,Adult,1,No/Unspecified,Sexual Assault/Torture,Radio Free Asia,Female detainee tortured and sexually assaulted.,
06-Apr-21,Egypt,Minya prison,Prisoners/Officers,Man (30-year-old),Adult,1,No/Unspecified,Rape,The New Arab,Man raped by prisoner and ten prison officers.,
18-Apr-21,Chile,Santiago,Police officer,Student (Female),Adult/Young Adult,1,No/Unspecified,Sexual Assault,ACLED,Student sexually assaulted inside police vehicle.,
17-Apr-21,Colombia,"Mapiripan, Meta",Men (Covered faces),Girl (7-year-old),Child/Minor,1,Yes (Victim),Sexual Assault,Commission of Justice,7-year-old Indigenous girl sexually assaulted by 5 men.,
03-Oct-21,Chad,"Kounongou Refugee Camp",Cattle herders,Female refugees (13-17yo),Child/Minor,12,Yes (Victims),Rape,Radio Dabanga,"12 female refugees aged 13-17 raped by cattle herders while collecting firewood."
03-Oct-21,DRC,"Paysana village, North Kivu",FARDC soldier,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape/Kidnap,Kivu Security,"17-year-old girl kidnapped and raped by FARDC soldier."
04-Oct-21,DRC,"Kitsimba town, North Kivu",Armed men,IDP Women,Adult,4,No/Unspecified,Rape,La Prunelle,"Four IDP women raped by armed men."
04-Oct-21,DRC,"Lwama village, Maniema",Mai-Mai militia,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,La Prunelle,"15-year-old girl raped by suspected Mai-Mai militia."
05-Oct-21,DRC,"Baraka village, South Kivu",FARDC soldiers,Woman (23-year-old),Adult,1,No/Unspecified,Rape,La Prunelle,"23-year-old woman raped at knifepoint by suspected soldiers."
09-Oct-21,DRC,"Kaseti village, South Kivu",Unknown,Girl (20-year-old),Adult/Young Adult,1,No/Unspecified,Rape/Murder,La Prunelle,"Body of 20-year-old girl found with injuries; investigation confirmed rape."
13-Oct-21,DRC,"Nyakagina town, North Kivu",Armed bandits,IDP Women,Adult,5,No/Unspecified,Rape,La Prunelle,"Five IDP women raped by armed bandits."
18-Oct-21,DRC,"Lusenda Refugee Camp, South Kivu",Armed men,IDP Woman,Adult,1,No/Unspecified,Rape/Kidnap,La Prunelle,"IDP woman kidnapped and raped by four armed men."
18-Oct-21 (Reported),Ethiopia,"Mersa town, Amhara",Armed man (Plain clothes),Woman (28-year-old),Adult,1,No/Unspecified,Rape,Reuters,"28-year-old Amhara woman raped by armed man speaking Tigrinya."
04-Oct-21,Nigeria,"Shiroro LGA, Niger State",Boko Haram,Daughters (12-year-old),Child/Minor,Unspecified number,Yes (Victims),Forced Marriage,Sahara Reporters,"Insurgents forcing residents to marry off their 12-year-old daughters."
11-Oct-21 (Reported),Nigeria,"Bonta village, Benue",Army officer,Woman (31-year-old),Adult,1,No/Unspecified,Rape/Beat,Sahara Reporters,"31-year-old woman raped and beaten by army officer."
11-Oct-21 (Reported),Nigeria,"Bonta village, Benue",Soldier,Woman (28-year-old),Adult,1,No/Unspecified,Rape,Sahara Reporters,"28-year-old woman raped at gunpoint by soldier."
11-Oct-21 (Reported),Nigeria,"Bonta village, Benue",Soldiers,Woman,Adult,1,No/Unspecified,Gang-rape,Sahara Reporters,"Woman gang-raped by more than two soldiers."
14-Oct-21 (Reported),Nigeria,"Borno state",Adults (Linked cases),IDP Girls (Minors),Child/Minor,10 cases,Yes (Victims),Rape,Humangle,"Spike in rape cases involving underage IDP girls; 10 cases reported in two weeks."
03-Nov-21,South Sudan,"Yei city",Men,Girl (14-year-old),Child/Minor,1,Yes (Victim),Gang-rape,Wiki Rumours,"14-year-old girl ambushed and raped by seven men."
10-Oct-21,Uganda,"Rhino Refugee Camp",Men,Girls,Child/Minor,2,Yes (Victims),Rape,Wiki Rumours,"Two girls raped by men and admitted to hospital."
19-Oct-21,Colombia,"Unspecified",Paramilitary groups,Journalist,Adult,1,No/Unspecified,Rape/Torture (Court Ruling),Al Jazeera,"Court ruling holding govt responsible for 2000 kidnap/rape of journalist."
21-Oct-21 (Reported),USA,"Southern Border",Federal officers,Asylum seekers,Mixed,160 (2016-2021),Yes (Children involved),Sexual Abuse/Assault,HRW/Guardian,"160 cases of abuse reported 2016-2021 including child sexual assault."
21-Oct-21 (Reported),USA,"Southern Border",CBP/Border Patrol,Girl,Child/Minor,1,Yes (Victim),Sexual Molestation,HRW/Guardian,"Girl forced to undress and touched inappropriately by guard."
21-Oct-21 (Reported),USA,"San Ysidro, California",Officer,Asylum seeker (Male),Adult,1,No/Unspecified,Sexual Coercion,HRW/Guardian,"Officer demanded sex from male asylum seeker in exchange for freedom."
21-Oct-21 (Reported),USA,"Southern Border",Border Patrol dog,Asylum seeker,Adult,1,No/Unspecified,Sexual Injury (Dog bite),HRW/Guardian,"Asylum seeker bitten in genitals by service dog; denied medical treatment."
17-Sep-21,Burkina Faso,"Fili-Fili village, Soum",JNIM militants,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by suspected JNIM militants."
15-Sep-21 (Reported),Central African Republic,"Unspecified",Peacekeepers (Gabon),Unspecified,Unknown,32 allegations,No/Unspecified,Sexual Exploitation,France 24,"32 allegations of sexual exploitation against Gabonese contingent (2015-present)."
06-Sep-21,Chad,"Mourbame village",Soldier,Girl (17-year-old),Child/Minor,1,Yes (Victim),Assault/Murder (Intervener),Alwihda,"17-year-old girl assaulted; man intervening was killed."
15-Sep-21,Chad,"Kechagen refugee camp",Men,Girl (Sudanese),Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,"Sudanese girl raped collecting firewood."
31-Aug-21,DRC,"South Kivu",Police/Soldiers,Survivors (Mostly minors),Child/Minor,19 convicted,Yes (Victims),Rape (Conviction),Anadolu Agency,"9 police and 10 soldiers convicted of rape."
06-Sep-21,DRC,"Djugu town, Ituri",Militia,IDP Women,Adult,10,No/Unspecified,Rape,UN,"10 female IDPs raped by armed militia."
15-Sep-21,DRC,"JTN village, North Kivu",Armed men,Women,Adult,2,No/Unspecified,Rape/Kidnap,Kivu Security,"Two women kidnapped and raped; ransom demanded."
20-Sep-21,DRC,"Kitundu village, South Kivu",Mai-Mai militia,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,"Woman kidnapped and raped by militia; ransom demanded."
28-Sep-21 (Reported),DRC,"North Kivu",WHO Staff,Women/Girls (13-43),Mixed,80 cases (21 staff),Yes (Girls victims),Sexual Exploitation,Reuters,"Inquiry into Ebola crisis identified 21 WHO staff involved in sexual abuse."
16-Sep-21 (Reported),Ethiopia,"Zelasle/Ziban Gedena",Tigrayan fighters,Refugee (27yo) and Sister (17yo),Mixed,2,Yes (17yo victim),Rape,Reuters,"27-year-old refugee and 17-year-old sister raped."
16-Sep-21 (Reported),Ethiopia,"Shimelba refugee camp",Eritrean forces,Refugees,Adult,4,No/Unspecified,Rape,Reuters,"Four Eritrean refugees raped."
08-Sep-21 (Reported),Mozambique,"Cabo Delgado",Officials/Relief workers,Women/Girls,Mixed,Unspecified,Yes (Girls victims),Sexual Exploitation,Club of Mozambique,"Allegations of sexual exploitation in exchange for aid."
08-Sep-21 (Reported),Mozambique,"Pemba",Relief worker,IDP Woman (23-year-old),Adult,1,No/Unspecified,Sexual Harassment,Club of Mozambique,"Relief worker demanded sex from IDP woman for accommodation."
22-Sep-21,Nigeria,"Aba city",Policemen,Student (18-year-old),Adult/Young Adult,1,No/Unspecified,Rape,Sahara Reporters,"18-year-old student detained and raped by three policemen."
07-Sep-21,Sudan,"Khartoum Jadeed, North Darfur",Armed men,Girl (17-year-old),Child/Minor,1,Yes (Victim),Gang-rape,Radio Dabanga,"17-year-old girl gang-raped by seven armed men."
09-Sep-21,Sudan,"North of Koshni",Armed men,Girl,Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,"Girl raped during village attack."
